Zip,City,State,Lat,Long
99523,Anchorage,AK,61.108864,-149.440311
99524,Anchorage,AK,61.108864,-149.440311
99658,Saint Marys,AK,62.048263,-163.1937
99512,Anchorage,AK,61.203954,-149.808426
99559,Bethel,AK,60.766603,-161.88006
99548,Chignik Lake,AK,56.252156,-158.74638
99587,Girdwood,AK,60.952049,-149.0838
99922,Hydaburg,AK,55.209339,-132.82545
99546,Adak,AK,51.87957,-176.63675
99729,Cantwell,AK,63.255516,-148.39873
99638,Nikolski,AK,52.785684,-169.19469
99762,Nome,AK,64.532616,-165.10883
99705,North Pole,AK,64.777233,-147.3649
99781,Venetie,AK,67.015569,-146.41736
99670,South Naknek,AK,58.71163,-157.01746
99683,Trapper Creek,AK,62.415294,-150.37044
99950,Ketchikan,AK,55.875767,-131.46633
99667,Skwentna,AK,61.898872,-151.51587
99603,Homer,AK,59.665074,-151.4493
99701,Fairbanks,AK,64.83507,-147.72045
99689,Yakutat,AK,59.538728,-139.71052
99829,Hoonah,AK,58.109608,-135.43154
99515,Anchorage,AK,61.122943,-149.88852
99583,False Pass,AK,54.849999,-163.42011
99756,Manley Hot Springs,AK,65.021337,-150.50318
99723,Barrow,AK,71.299525,-156.74891
99850,Juneau,AK,58.411303,-135.40874
99789,Nuiqsut,AK,70.215197,-151.02746
99574,Cordova,AK,60.474512,-145.40256
99761,Noatak,AK,67.572031,-162.97508
99639,Ninilchik,AK,59.992821,-151.54194
99678,Togiak,AK,59.101934,-160.50353
99708,Fairbanks,AK,64.947462,-147.856443
99706,Fairbanks,AK,64.852055,-147.937747
99568,Clam Gulch,AK,60.23458,-151.3934
99579,Egegik,AK,58.217621,-157.34841
99586,Gakona,AK,62.667589,-144.49059
99671,Stebbins,AK,63.511893,-162.27463
99554,Alakanuk,AK,62.683391,-164.65455
99767,Rampart,AK,65.507883,-150.1636
99624,Larsen Bay,AK,57.529161,-154.00286
99514,Anchorage,AK,61.108864,-149.440311
99552,Akiak,AK,60.911865,-161.22577
99740,Fort Yukon,AK,66.566652,-145.28231
99759,Point Lay,AK,69.741023,-163.00861
99757,Lake Minchumina,AK,63.893902,-152.30201
99771,Shaktoolik,AK,64.343258,-161.16785
99779,Tetlin,AK,63.135294,-142.5323
99635,Nikiski,AK,60.784804,-151.06473
99507,Anchorage,AK,61.154834,-149.82865
99776,Tanacross,AK,63.376206,-143.35699
99743,Healy,AK,64.010218,-149.10712
99736,Deering,AK,66.075713,-162.71822
99640,Nondalton,AK,59.971286,-154.85008
99923,Hyder,AK,55.941442,-130.0545
99699,Funny River,AK,60.516935,-150.719924
99585,Marshall,AK,61.878073,-162.08481
99919,Thorne Bay,AK,55.677232,-132.55624
99684,Unalakleet,AK,63.882081,-160.76294
99619,Kodiak,AK,58.268704,-155.797078
99745,Hughes,AK,66.044094,-154.25703
99613,King Salmon,AK,58.687446,-156.64007
99694,Houston,AK,61.629635,-149.79507
99504,Anchorage,AK,61.204466,-149.74633
99634,Napakiak,AK,60.695049,-161.9909
99630,Mekoryuk,AK,60.364246,-166.28601
99556,Anchor Point,AK,59.798363,-151.73566
99714,Salcha,AK,64.464105,-146.91648
99516,Anchorage,AK,61.101142,-149.77311
99666,Sheldon Point,AK,62.495675,-164.97188
99606,Iliamna,AK,59.748806,-154.8124
99697,Kodiak,AK,57.564289,-153.40755
99832,Pelican,AK,57.959709,-136.22032
99581,Emmonak,AK,62.729019,-164.29917
99769,Savoonga,AK,63.686038,-170.4087
99674,Sutton,AK,61.751348,-148.69632
99744,Anderson,AK,64.349263,-149.19265
99643,Old Harbor,AK,57.19926,-153.30438
99821,Auke Bay,AK,58.449413,-134.700348
99657,Russian Mission,AK,61.785228,-161.36476
99675,Takotna,AK,62.969642,-156.10264
99547,Atka,AK,52.227555,-174.19628
99513,Anchorage,AK,61.214877,-149.88617
99788,Chalkyitsik,AK,66.653222,-143.72717
99590,Grayling,AK,62.90813,-160.06675
99672,Sterling,AK,60.532394,-150.74033
99660,Saint Paul Island,AK,57.130894,-170.27203
99569,Clarks Point,AK,58.83256,-158.55254
99903,Meyers Chuck,AK,55.742045,-132.25002
99711,Fairbanks,AK,64.826445,-147.38884
99768,Ruby,AK,64.737306,-155.48769
99687,Wasilla,AK,61.391728,-149.99002
99709,Fairbanks,AK,64.854937,-147.87406
99576,Dillingham,AK,59.068709,-158.44407
99550,Port Lions,AK,57.867089,-152.88568
99663,Seldovia,AK,59.422698,-151.71513
99520,Anchorage,AK,61.108864,-149.440311
99656,Red Devil,AK,61.810587,-157.3437
99591,Saint George Island,AK,56.605546,-169.55958
99665,Shageluk,AK,62.655998,-159.53113
99680,Tuntutuliak,AK,60.343879,-162.66587
99633,Naknek,AK,58.745436,-156.95331
99661,Sand Point,AK,55.311735,-160.48813
99925,Klawock,AK,55.555164,-133.07316
99614,Kipnuk,AK,59.937619,-164.04392
99650,Pilot Station,AK,61.93605,-162.8834
99764,Northway,AK,62.980725,-141.82852
99747,Kaktovik,AK,70.13346,-143.62436
99647,Pedro Bay,AK,59.781241,-154.10833
99778,Teller,AK,65.250432,-166.35474
99549,Port Heiden,AK,56.946256,-158.62832
99746,Huslia,AK,65.701858,-156.38713
99730,Central,AK,65.551022,-144.71982
99707,Fairbanks,AK,64.699839,-147.405134
99540,Indian,AK,60.973454,-149.4583
99654,Wasilla,AK,61.580187,-149.48821
99510,Anchorage,AK,61.144568,-149.878418
99637,Toksook Bay,AK,60.532936,-165.10529
99722,Arctic Village,AK,68.121828,-145.52768
99575,Crooked Creek,AK,61.859821,-158.12888
99604,Hooper Bay,AK,61.52898,-166.09619
99612,King Cove,AK,55.063736,-162.3124
99573,Copper Center,AK,61.832347,-145.2308
99685,Unalaska,AK,53.872017,-166.52287
99564,Chignik,AK,56.298297,-158.4044
99770,Selawik,AK,66.597998,-160.01772
99649,Pilot Point,AK,57.508178,-157.39907
99775,Fairbanks,AK,64.860846,-147.82681
99632,Mountain Village,AK,62.090075,-163.72393
99755,Denali National Park,AK,63.657441,-148.83396
99785,Brevig Mission,AK,65.342744,-166.51023
99662,Scammon Bay,AK,61.783788,-165.53972
99833,Petersburg,AK,56.784206,-132.97354
99690,Nightmute,AK,60.527618,-164.81976
99811,Juneau,AK,58.38348,-134.197786
99780,Tok,AK,63.341767,-142.93704
99712,Fairbanks,AK,64.926041,-147.49573
99578,Eek,AK,60.214239,-162.03799
99653,Port Alsworth,AK,60.102331,-154.55708
99802,Juneau,AK,58.405657,-134.58969
99659,Saint Michael,AK,63.477448,-162.03841
99501,Anchorage,AK,61.216799,-149.87828
99742,Gambell,AK,63.776098,-171.70088
99901,Ketchikan,AK,55.368644,-131.6762
99926,Metlakatla,AK,55.123897,-131.56883
99609,Kasigluk,AK,60.873178,-162.5196
99679,Tuluksak,AK,61.102912,-160.96325
99676,Talkeetna,AK,62.298254,-149.87542
99750,Kivalina,AK,67.733313,-164.54522
